Bug\SUT,BitVise-8.49,Dropbear-v2020.81,OpenSSH-8.8p1
Authentication Failure After Rekey,-,-,-
Channel Open Failure After Rekey,-,-,-
Channel Request Terminal Failure After Rekey,-,-,-
Continue After Disconnect,-,-,-
Early Service Accept,-,-,-
Invalid Authentication Rejection Response,-,-,-
Invalid Closure Response,-,"confirmed(inp: 6, rst: 1)","confirmed(inp: 10, rst: 1)"
Invalid Response Before NEWKEYS,-,-,-
Invalid SR_AUTH Response,"confirmed(inp: 4, rst: 1)",-,"confirmed(inp: 2, rst: 1)"
Missing NEWKEYS,"confirmed(inp: 7, rst: 1)",-,"confirmed(inp: 8, rst: 1)"
Missing SR_AUTH,-,"confirmed(inp: 4, rst: 1)",-
Multiple UA_SUCCESS,-,-,-
Rekey Failure After Authentication,"confirmed(inp: 8, rst: 1)",-,-
Rekey Failure Before Authentication,-,-,"confirmed(inp: 5, rst: 1)"
Unauthenticated Client,-,-,-
Unignored Authentication Request,"confirmed(inp: 6, rst: 1)",-,"confirmed(inp: 6, rst: 1)"
-,-,-,-
-,-,-,-
Total Inputs,25,10,31
Total Resets,4,2,5
Total Time(ms),16990,9605,66289
